VARIAVEL;G1;G2;PASSO;VARIAVEL_CNJ;GRUPO;ROTULO;DESCRICAO
CARTAD2;0;1;3;CartaD2º;Cartas;Devolvidas;Cartas precatórias, rogatórias e de ordem devolvidas pelo 2º Grau
CARTAN2;0;1;3;CartaN2º;Cartas;Novas;Cartas precatórias, rogatórias e de ordem novas no 2º Grau
CNOCRIM2;0;1;3;CnOCrim2º;Novos;Originários Criminais;Casos Novos Originários no 2º Grau Criminais
CNONCRIM2;0;1;3;CnONCrim2º;Novos;Originários Não Criminais;Casos Novos Originários no 2º Grau Não-Criminais
CNRCRIM2;0;1;3;CnRCrim2º;Novos;Recursais Criminais;Casos Novos Recursais no 2º Grau Criminais
CNRNCRIM2;0;1;3;CnRNCrim2º;Novos;Recursais Não Criminais;Casos Novos Recursais no 2º Grau Não-Criminais
CPCRIM2;0;1;3;CpCrim2º;Pendentes;Criminais;Casos Pendentes no 2º Grau Criminais
CPNCRIM2;0;1;3;CpNCrim2º;Pendentes;Não Criminais;Casos Pendentes no 2º Grau Não-Criminais
PREDCRIM2;0;1;3;PRedCrim2º;Processos Redistribuídos;Criminais;Processos Criminais de 2º grau encaminhados a outra unidade judiciária por motivo de Redistribuição
PREDNCRIM2;0;1;3;PRedNCrim2º;Processos Redistribuídos;Não Criminais;Processos Não-Criminais de 2º grau encaminhados a outra unidade judiciária por motivo de Redistribuição
PREDRCRIM2;0;1;3;PRedRCrim2º;Processos Redistribuídos;Recursais Criminais;Processos Criminais de 2º grau recebidos, após terem sido encaminhados de outra unidade judiciária por motivo de Redistribuição
PREDRNCRIM2;0;1;3;PRedRNCrim2º;Processos Redistribuídos;Recursais Não Criminais;Processos Não Criminais de 2º grau recebidos, após terem sido encaminhados de outra unidade judiciária por motivo de Redistribuição
PROCINVARQ2;0;1;3;ProcInvArq2º;Procedimentos Investigativos;Arquivados;Todos os procedimentos investigatórios que foram arquivados pelo 2º Grau durante o período-base
PROCINVN2;0;1;3;ProcInvN2º;Procedimentos Investigativos;Novos;Procedimentos investigatórios que foram distribuídos ou redistribuídos para o 2º Grau durante o período-base
PROCINVP2;0;1;3;ProcInvP2º;Procedimentos Investigativos;Pendentes;Procedimentos investigatórios que foram distribuídos ou redistribuídos para o 2º Grau e que até o final do período-base (mês) não tinham recebido pedido de arquivamento ou denúncia do Ministério Público
RINT2;0;1;3;Rint2º;Recursos Internos;Recursos Internos;Recursos Internos no 2º Grau
RINTP2;0;1;3;RintP2º;Recursos Internos;Pendentes;Recursos Internos Pendentes no 2º Grau
SUS2;0;1;3;SuS2º;Suspensões;Suspensos ou Sobrestados;Processos Suspensos ou Sobrestados ou em Arquivo Provisório no 2º Grau
TBAIXCRIM2;0;1;3;TBaixCrim2º;Baixados;Criminais;Total de Processos Baixados no 2º Grau Criminais
TBAIXNCRIM2;0;1;3;TBaixNCrim2º;Baixados;Baixados Não Criminais;Total de Processos Baixados no 2º Grau Não-Criminais
